"","idno","cntry","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","age_category"
"11709",63082,"Hungary",2,5,NA,8,7,3,"Female",33,"entre 30 y 44"
"11710",63083,"Hungary",3,4,3,7,6,4,"Female",60,"entre 60 y 74"
"11711",63087,"Hungary",4,2,4,10,10,3,"Male",52,"entre 45 y 59"
"11712",63097,"Hungary",2,2,4,10,10,3,"Female",67,"entre 60 y 74"
"11713",63107,"Hungary",3,3,2,7,6,3,"Female",29,"menor de 30"
"11714",63135,"Hungary",3,3,3,5,6,5,"Female",38,"entre 30 y 44"
"11715",63176,"Hungary",1,1,4,10,5,3,"Male",61,"entre 60 y 74"
"11716",63205,"Hungary",5,3,4,10,1,5,"Male",78,"75 o mayor"
"11717",63207,"Hungary",4,1,3,8,4,3,"Male",59,"entre 45 y 59"
"11718",63211,"Hungary",5,2,4,10,10,4,"Male",55,"entre 45 y 59"
"11719",63218,"Hungary",NA,3,3,10,8,3,"Male",34,"entre 30 y 44"
"11720",63220,"Hungary",1,1,4,10,4,3,"Female",47,"entre 45 y 59"
"11721",63235,"Hungary",1,1,2,6,7,4,"Female",23,"menor de 30"
"11722",63244,"Hungary",3,2,4,8,7,4,"Female",43,"entre 30 y 44"
"11723",63263,"Hungary",2,1,4,10,10,3,"Female",65,"entre 60 y 74"
"11724",63265,"Hungary",2,1,3,5,5,5,"Female",61,"entre 60 y 74"
"11725",63268,"Hungary",NA,2,4,8,5,4,"Female",64,"entre 60 y 74"
"11726",63269,"Hungary",5,2,4,8,7,3,"Female",79,"75 o mayor"
"11727",63273,"Hungary",2,2,3,10,10,3,"Female",84,"75 o mayor"
"11728",63303,"Hungary",2,2,3,8,4,2,"Female",49,"entre 45 y 59"
"11729",63304,"Hungary",3,3,2,9,7,3,"Female",71,"entre 60 y 74"
"11730",63320,"Hungary",3,2,4,10,3,3,"Female",65,"entre 60 y 74"
"11731",63321,"Hungary",3,3,3,8,8,2,"Female",15,"menor de 30"
"11732",63352,"Hungary",3,1,4,8,9,4,"Male",76,"75 o mayor"
"11733",63388,"Hungary",2,2,3,10,8,3,"Female",80,"75 o mayor"
"11734",63397,"Hungary",5,5,3,10,5,3,"Female",23,"menor de 30"
"11735",63407,"Hungary",3,3,4,8,8,4,"Female",25,"menor de 30"
"11736",63415,"Hungary",5,4,4,5,3,3,"Female",NA,NA
"11737",63420,"Hungary",5,3,3,5,4,3,"Male",63,"entre 60 y 74"
"11738",63469,"Hungary",5,1,2,10,10,4,"Female",67,"entre 60 y 74"
"11739",63535,"Hungary",2,1,3,9,9,4,"Male",56,"entre 45 y 59"
"11740",63567,"Hungary",4,1,4,10,10,3,"Female",65,"entre 60 y 74"
"11741",63578,"Hungary",3,2,3,5,3,3,"Female",62,"entre 60 y 74"
"11742",63590,"Hungary",5,1,4,10,8,3,"Male",74,"entre 60 y 74"
"11743",63615,"Hungary",2,3,3,8,8,3,"Female",68,"entre 60 y 74"
"11744",63626,"Hungary",5,4,2,7,7,NA,"Male",43,"entre 30 y 44"
"11745",63631,"Hungary",3,1,4,8,5,3,"Female",58,"entre 45 y 59"
"11746",63635,"Hungary",3,3,3,10,8,3,"Female",43,"entre 30 y 44"
"11747",63648,"Hungary",3,2,4,6,5,3,"Male",69,"entre 60 y 74"
"11748",63707,"Hungary",2,5,4,10,10,3,"Male",61,"entre 60 y 74"
"11749",63709,"Hungary",4,2,3,10,10,2,"Male",23,"menor de 30"
"11750",63711,"Hungary",1,2,2,6,7,1,"Female",67,"entre 60 y 74"
"11751",63789,"Hungary",3,2,2,8,7,5,"Female",44,"entre 30 y 44"
"11752",63802,"Hungary",1,3,3,9,8,3,"Male",23,"menor de 30"
"11753",63808,"Hungary",1,5,2,6,10,4,"Female",33,"entre 30 y 44"
"11754",63826,"Hungary",1,2,4,7,7,4,"Female",61,"entre 60 y 74"
"11755",63834,"Hungary",1,4,4,10,10,4,"Female",62,"entre 60 y 74"
"11756",63836,"Hungary",3,2,4,8,4,4,"Female",69,"entre 60 y 74"
"11757",63861,"Hungary",5,1,4,10,9,1,"Male",63,"entre 60 y 74"
"11758",63867,"Hungary",4,1,4,10,10,3,"Male",65,"entre 60 y 74"
"11759",63876,"Hungary",4,1,3,8,8,4,"Male",68,"entre 60 y 74"
"11760",63903,"Hungary",3,2,3,5,7,4,"Female",29,"menor de 30"
"11761",63917,"Hungary",3,2,3,10,10,3,"Male",33,"entre 30 y 44"
"11762",63944,"Hungary",2,1,4,9,9,4,"Female",63,"entre 60 y 74"
"11763",63948,"Hungary",3,4,4,7,5,4,"Male",37,"entre 30 y 44"
"11764",63966,"Hungary",3,4,3,6,8,4,"Male",68,"entre 60 y 74"
"11765",63968,"Hungary",5,3,3,7,6,3,"Female",42,"entre 30 y 44"
"11766",63973,"Hungary",4,2,3,10,8,4,"Female",86,"75 o mayor"
"11767",63985,"Hungary",1,5,2,10,10,2,"Female",25,"menor de 30"
"11768",64012,"Hungary",2,2,3,10,10,3,"Male",51,"entre 45 y 59"
"11769",64013,"Hungary",2,2,4,7,7,3,"Female",83,"75 o mayor"
"11770",64014,"Hungary",2,2,3,7,7,3,"Female",47,"entre 45 y 59"
"11771",64026,"Hungary",5,2,4,10,10,1,"Male",28,"menor de 30"
"11772",64059,"Hungary",2,1,4,10,6,2,"Male",23,"menor de 30"
"11773",64061,"Hungary",3,4,1,10,10,3,"Male",48,"entre 45 y 59"
"11774",64114,"Hungary",2,3,4,8,9,4,"Female",63,"entre 60 y 74"
"11775",64145,"Hungary",2,2,4,10,10,3,"Female",46,"entre 45 y 59"
"11776",64146,"Hungary",4,1,4,10,10,4,"Female",90,"75 o mayor"
"11777",64161,"Hungary",5,2,3,10,5,3,"Male",79,"75 o mayor"
"11778",64162,"Hungary",1,3,2,5,8,4,"Male",55,"entre 45 y 59"
"11779",64181,"Hungary",2,1,4,10,10,5,"Female",71,"entre 60 y 74"
"11780",64207,"Hungary",2,1,4,10,5,3,"Female",40,"entre 30 y 44"
"11781",64268,"Hungary",3,3,3,6,4,2,"Female",49,"entre 45 y 59"
"11782",64281,"Hungary",2,1,3,NA,6,5,"Male",51,"entre 45 y 59"
"11783",64343,"Hungary",2,3,3,8,8,3,"Female",72,"entre 60 y 74"
"11784",64350,"Hungary",2,3,1,9,4,3,"Female",65,"entre 60 y 74"
"11785",64439,"Hungary",2,3,4,9,6,3,"Male",NA,NA
"11786",64454,"Hungary",1,1,4,10,6,2,"Female",67,"entre 60 y 74"
"11787",64476,"Hungary",3,1,4,7,9,5,"Female",76,"75 o mayor"
"11788",64481,"Hungary",2,3,4,10,5,3,"Female",43,"entre 30 y 44"
"11789",64524,"Hungary",2,3,3,4,7,3,"Female",45,"entre 45 y 59"
"11790",64529,"Hungary",1,1,4,8,4,3,"Male",48,"entre 45 y 59"
"11791",64571,"Hungary",3,3,3,10,10,3,"Male",43,"entre 30 y 44"
"11792",64584,"Hungary",4,4,4,9,5,4,"Female",68,"entre 60 y 74"
"11793",64612,"Hungary",5,1,4,10,10,3,"Female",49,"entre 45 y 59"
"11794",64624,"Hungary",2,5,3,6,8,3,"Female",37,"entre 30 y 44"
"11795",64632,"Hungary",1,3,3,10,10,3,"Male",84,"75 o mayor"
"11796",64691,"Hungary",2,1,4,8,2,3,"Male",46,"entre 45 y 59"
"11797",64700,"Hungary",5,1,4,8,4,3,"Female",68,"entre 60 y 74"
"11798",64710,"Hungary",3,2,4,8,6,3,"Female",64,"entre 60 y 74"
"11799",64715,"Hungary",5,4,3,8,8,3,"Female",35,"entre 30 y 44"
"11800",64743,"Hungary",1,1,4,10,10,3,"Male",44,"entre 30 y 44"
"11801",64786,"Hungary",3,3,3,3,3,3,"Female",24,"menor de 30"
"11802",64845,"Hungary",2,1,4,NA,10,3,"Male",58,"entre 45 y 59"
"11803",64916,"Hungary",2,5,2,9,9,3,"Female",65,"entre 60 y 74"
"11804",64925,"Hungary",3,2,2,8,7,5,"Female",42,"entre 30 y 44"
"11805",64929,"Hungary",5,NA,4,8,4,3,"Female",25,"menor de 30"
"11806",64937,"Hungary",3,2,4,6,5,3,"Male",83,"75 o mayor"
"11807",64945,"Hungary",3,3,4,7,8,3,"Female",76,"75 o mayor"
"11808",64970,"Hungary",5,1,4,0,5,5,"Female",86,"75 o mayor"
"11809",64982,"Hungary",1,4,4,8,6,3,"Male",48,"entre 45 y 59"
"11810",64993,"Hungary",5,1,3,10,10,3,"Male",48,"entre 45 y 59"
"11811",64998,"Hungary",2,3,4,10,5,3,"Female",65,"entre 60 y 74"
"11812",65023,"Hungary",5,1,4,10,6,3,"Female",NA,NA
"11813",65036,"Hungary",2,4,4,7,7,3,"Male",25,"menor de 30"
"11814",65057,"Hungary",3,2,2,9,4,3,"Male",24,"menor de 30"
"11815",65065,"Hungary",3,2,4,9,0,4,"Female",66,"entre 60 y 74"
"11816",65072,"Hungary",2,3,4,8,8,4,"Female",66,"entre 60 y 74"
"11817",65075,"Hungary",2,1,2,9,4,3,"Female",24,"menor de 30"
"11818",65094,"Hungary",2,2,3,8,8,3,"Female",45,"entre 45 y 59"
"11819",65117,"Hungary",3,4,4,10,10,2,"Male",53,"entre 45 y 59"
"11820",65119,"Hungary",1,2,3,9,10,3,"Female",17,"menor de 30"
"11821",65127,"Hungary",3,2,3,10,8,5,"Male",63,"entre 60 y 74"
"11822",65135,"Hungary",2,3,3,5,6,3,"Female",52,"entre 45 y 59"
"11823",65142,"Hungary",2,3,3,8,8,4,"Female",57,"entre 45 y 59"
"11824",65151,"Hungary",3,3,3,8,7,NA,"Male",29,"menor de 30"
"11825",65193,"Hungary",5,3,3,5,5,3,"Female",47,"entre 45 y 59"
"11826",65201,"Hungary",2,2,4,10,10,4,"Female",51,"entre 45 y 59"
"11827",65267,"Hungary",2,2,3,10,10,3,"Male",27,"menor de 30"
"11828",65272,"Hungary",3,2,4,7,8,3,"Male",56,"entre 45 y 59"
"11829",65279,"Hungary",3,3,4,10,10,2,"Female",79,"75 o mayor"
"11830",65309,"Hungary",3,3,3,4,8,1,"Female",68,"entre 60 y 74"
"11831",65360,"Hungary",1,4,3,8,8,4,"Female",74,"entre 60 y 74"
"11832",65383,"Hungary",2,3,4,5,5,4,"Female",37,"entre 30 y 44"
"11833",65404,"Hungary",3,4,2,8,6,3,"Male",52,"entre 45 y 59"
