"name","essround","edition","proddate","idno","cntry","dweight","pweight","freehms","lrnobed","impcntr","atchctr","atcherp","wrclmch","gndr","agea","prob","stratum","psu"
"ESS11e01",11,"1.0","20.06.2024",58327,"NL",1.0238738,0.8899064,3,2,2,0,7,3,2,81,0.00032992495,751,9324
"ESS11e01",11,"1.0","20.06.2024",58329,"NL",0.9672266,0.8899064,7,1,2,5,0,1,2,43,0.00034924754,738,8411
"ESS11e01",11,"1.0","20.06.2024",58427,"NL",0.93703866,0.8899064,1,3,2,8,8,4,1,46,0.00036049902,716,8199
"ESS11e01",11,"1.0","20.06.2024",58501,"NL",0.9461035,0.8899064,1,2,2,7,5,4,1,61,0.00035704498,723,8428
"ESS11e01",11,"1.0","20.06.2024",58509,"NL",0.99878466,0.8899064,2,2,4,4,3,4,2,65,0.00033821256,749,8886
"ESS11e01",11,"1.0","20.06.2024",58520,"NL",0.9857699,0.8899064,1,1,2,8,7,3,2,60,0.00034267787,748,8765
"ESS11e01",11,"1.0","20.06.2024",58548,"NL",0.9937498,0.8899064,1,2,1,7,7,3,2,17,0.00033992613,728,8243
"ESS11e01",11,"1.0","20.06.2024",58555,"NL",1.082278,0.8899064,1,1,3,6,5,4,1,24,0.00031212086,744,9286
"ESS11e01",11,"1.0","20.06.2024",58583,"NL",1.082278,0.8899064,1,2,2,5,6,3,1,17,0.00031212086,744,9556
"ESS11e01",11,"1.0","20.06.2024",58588,"NL",0.9461035,0.8899064,2,2,3,8,8,2,1,57,0.00035704498,723,9631
"ESS11e01",11,"1.0","20.06.2024",58594,"NL",0.9942842,0.8899064,2,2,3,2,0,3,1,55,0.00033974342,718,9358
"ESS11e01",11,"1.0","20.06.2024",58612,"NL",1.0127593,0.8899064,1,2,2,8,8,3,2,71,0.0003335457,752,8861
"ESS11e01",11,"1.0","20.06.2024",58648,"NL",1.0559736,0.8899064,1,2,1,6,6,3,2,22,0.00031989577,730,8778
"ESS11e01",11,"1.0","20.06.2024",58650,"NL",1.0102389,0.8899064,4,1,3,8,6,5,2,68,0.00033437787,750,8524
"ESS11e01",11,"1.0","20.06.2024",58651,"NL",1.0127593,0.8899064,3,2,2,5,88,2,2,69,0.0003335457,752,8452
"ESS11e01",11,"1.0","20.06.2024",58668,"NL",0.92712563,0.8899064,1,1,3,9,6,2,2,64,0.00036435356,746,8496
"ESS11e01",11,"1.0","20.06.2024",58709,"NL",0.926864,0.8899064,1,3,2,7,7,4,2,57,0.00036445638,747,8304
"ESS11e01",11,"1.0","20.06.2024",58762,"NL",0.9942842,0.8899064,1,3,1,6,6,2,1,48,0.00033974342,718,8183
"ESS11e01",11,"1.0","20.06.2024",58766,"NL",1.051896,0.8899064,1,2,3,8,8,3,1,23,0.00032113586,733,8912
"ESS11e01",11,"1.0","20.06.2024",58829,"NL",1.0143288,0.8899064,2,2,3,5,5,3,2,39,0.0003330296,740,8787
"ESS11e01",11,"1.0","20.06.2024",58839,"NL",1.0196493,0.8899064,2,2,4,7,2,1,2,69,0.00033129187,753,8369
"ESS11e01",11,"1.0","20.06.2024",58840,"NL",0.9672266,0.8899064,1,3,1,3,3,5,2,43,0.00034924754,738,9547
"ESS11e01",11,"1.0","20.06.2024",58851,"NL",1.0053298,0.8899064,1,1,2,8,7,4,1,84,0.00033601062,726,8169
